#  Table S1: These are the weighted harmonic mean of the GTEx VG estimates from different tissues. These estimates are not recommended for use in ANEVA-DOT.	
#GeneID	Avg_VG
ENSG00000011454	0.00178514
ENSG00000011465	0.00225437
ENSG00000011478	0.00103211
ENSG00000011485	0.00151526
ENSG00000011523	0.00234838
ENSG00000011566	0.00258927
ENSG00000011590	0.00133915
ENSG00000011600	0.000925754
ENSG00000011638	0.00588156
ENSG00000012048	0.00169253
ENSG00000012061	0.00156962
ENSG00000012124	0.00332125
ENSG00000012171	0.00104219
ENSG00000012223	0.0267233
ENSG00000012232	0.0011171
ENSG00000012504	0.0588032
ENSG00000012660	0.00172334
ENSG00000012779	0.00523785
ENSG00000012822	0.000836302
ENSG00000012963	0.00129603
ENSG00000012983	0.000925736
ENSG00000013016	0.00246275
ENSG00000013275	0.000771917
ENSG00000013288	0.00370888
ENSG00000013293	0.00161762
ENSG00000013297	0.0024665
ENSG00000013306	0.00666654
ENSG00000013364	0.0354885
ENSG00000013374	0.00161934
ENSG00000013375	0.00213969
ENSG00000013441	0.000841894
ENSG00000013503	0.00230923
ENSG00000013523	0.00140094
ENSG00000013561	0.0022176
ENSG00000013583	0.00171254
ENSG00000013588	0.00421957
ENSG00000013725	0.00224478
ENSG00000013810	0.00127
ENSG00000014123	0.00238444
ENSG00000014138	0.00627888
ENSG00000014164	0.00338203
ENSG00000014216	0.00132656
ENSG00000014257	0.0233997
ENSG00000014824	0.00267247
ENSG00000014914	0.000971823
ENSG00000014919	0.00398819
ENSG00000015133	0.00101728
ENSG00000015153	0.00185561
ENSG00000015413	0.017335
ENSG00000015475	0.0016382
ENSG00000015479	0.003609
ENSG00000015520	0.000455642
ENSG00000015532	0.00168979
ENSG00000015592	0.00184256
ENSG00000015676	0.00341277
ENSG00000016082	0.00664749
ENSG00000016391	0.00538615
ENSG00000016402	0.00317765
ENSG00000016490	0.00666822
ENSG00000016602	0.00651602
ENSG00000016864	0.00125199
ENSG00000017260	0.000870695
ENSG00000017427	0.00298324
ENSG00000017797	0.0015987
ENSG00000018189	0.00343819
ENSG00000018236	0.00192678
ENSG00000018280	0.0121469
ENSG00000018408	0.00137562
ENSG00000018510	0.00430634
ENSG00000018625	0.00144411
ENSG00000018699	0.00401382
ENSG00000019102	0.00190959
ENSG00000019144	0.00153937
ENSG00000019169	0.0105632
ENSG00000019485	0.00316468
ENSG00000019505	0.00135711
ENSG00000019582	0.000857099
ENSG00000019991	0.00191247
ENSG00000019995	0.00202989
ENSG00000020129	0.00207281
ENSG00000020181	0.00120691
ENSG00000020256	0.0012354
ENSG00000020577	0.00149528
ENSG00000020633	0.0022713
ENSG00000021300	0.00167359
ENSG00000021355	0.0102942
ENSG00000021488	0.00870046
ENSG00000021574	0.000619468
ENSG00000021645	0.00208899
ENSG00000021762	0.00470712
ENSG00000021826	0.00434439
ENSG00000021852	0.00643646
ENSG00000022277	0.00172577
ENSG00000022355	0.000918255
ENSG00000022556	0.0319078
ENSG00000022567	0.00270957
ENSG00000022840	0.0026963
ENSG00000022976	0.00223986
ENSG00000023041	0.00125471
ENSG00000023171	0.00135426
ENSG00000023191	0.00202532
ENSG00000023228	0.00176888
ENSG00000023287	0.00330522
ENSG00000023318	0.0209736
ENSG00000023330	0.00151507
ENSG00000023445	0.00487271
